title,video_id,published_at,channel_title
Historian tells Fareed Zakaria about the way Trump ‘wants to turn the clock back’ with tariffs,gw2_dBrYaNE,2025-05-04T19:30:05Z,CNN
&#39;Highly illegal&#39;: Hear Harvard president&#39;s response to latest Trump threat,TSX3XOV0G2E,2025-05-02T21:44:21Z,CNN
Professor says Trump missing one major instrument of power,756haNx8w-k,2025-05-01T21:58:20Z,CNN
Harris hits Trump during speech,tOPah3k5Nho,2025-05-01T05:54:12Z,CNN
Trump &#39;wants to rule&#39;: Rahm Emanuel says Trump has an &#39;embarrassing&#39; susceptibility to flattery,hcUiHX9GmQU,2025-05-01T01:20:29Z,CNN
Ex-Trump economics adviser: I&#39;m on Amazon&#39;s side in this spat,yelhgNhjPC8,2025-04-30T11:01:39Z,CNN
How the Trump administration labeled students as criminals with no evidence,0qUMEWqlb6Y,2025-04-30T01:15:01Z,CNN
Hear Mark Carney’s message to Trump after stunning election win,-r8ScDioLBw,2025-04-29T11:54:14Z,CNN
CNN reporter details Harvard and Trump admin’s first day in court,qT-1LEPaXzY,2025-04-28T23:49:41Z,CNN
Harvard president: &#39;We have no choice&#39;,vHeJRCPgZ5E,2025-04-24T17:55:17Z,CNN
&#39;It&#39;s a yes or no answer&#39;: Abby Phillip challenges Scott Jennings on Fed Chair,F5oyz9Y33UI,2025-04-23T11:00:21Z,CNN
Harvard&#39;s lawsuit against the Trump admin sets up a titanic clash over academic freedom,Iwvk8-YYjao,2025-04-22T19:36:54Z,CNN
Law professor evaluates Harvard&#39;s case against Trump&#39;s admin,-LDm1LTD-eE,2025-04-22T13:27:00Z,CNN
Harvard sues Trump administration,aKOwO-307_I,2025-04-21T23:58:45Z,CNN
Former president of Columbia University on Trump’s ‘campaign of intimidation’,60GmnlFtHP4,2025-04-20T19:30:01Z,CNN
Fareed’s Take: Trump’s tariffs upended a booming economy,k4VfaYi_vJY,2025-04-20T17:57:31Z,CNN
Smerconish: Trump is picking fights he relishes,FaK62GT4xMc,2025-04-20T08:28:38Z,CNN
Comedian puzzled by Ted Cruz’s IRS claim,z6QNXd8IyYY,2025-04-20T02:12:07Z,CNN
Scott Jennings: Why do Dems &#39;fall in love with the worst people?&#39;,sL6GONG8tis,2025-04-18T13:40:37Z,CNN
‘This cancellation will cost lives’: Harvard professor on losing funding for medical research,Zp93RZ7Uzfc,2025-04-16T13:29:44Z,CNN
Hear what Biden said in first public remarks since leaving office,iOQaZF3Lolk,2025-04-16T12:37:37Z,CNN
"Scott Jennings, Lulu Navarro Garcia spar over Trump&#39;s threats to Harvard",ngDBH8utpUE,2025-04-15T21:17:10Z,CNN
Trump threatens to tax Harvard as a political entity,aa0_HrAglEo,2025-04-15T18:51:10Z,CNN
Trump administration withholds more than $2.2 billion from Harvard,6p2qQNjd90M,2025-04-15T18:29:00Z,CNN
Is Trump defying the Supreme Court&#39;s order? Hear what a former judge thinks,HeQY6VjwGa0,2025-04-15T16:29:58Z,CNN
The Trump admin. is making demands of Harvard. Harvard is now fighting back,wjHtvAYKCto,2025-04-15T11:31:56Z,CNN
‘A downward spiral has begun’: Varying reactions to Trump Administration’s trade war,eWljX2pDJJ0,2025-04-15T02:30:24Z,CNN
Hear what Katy Perry said after flying into space,0cF-J1M2eIs,2025-04-14T16:29:40Z,CNN
Hear top economist&#39;s prediction if uncertainty around Trump&#39;s tariffs continues,KjB9pWdZL3s,2025-04-14T14:09:25Z,CNN
&#39;Americans are not buying what Trump is selling them&#39;: Harry Enten breaks down new poll,WZ1LH1kAGo8,2025-04-14T13:18:23Z,CNN
‘Never yield’: Fareed Zakaria explains Chinese mentality over trade war,xjdz_lxO898,2025-04-12T17:36:25Z,CNN
Erin Burnett breaks out whiteboard to explain Trump’s tariff math,XTwNUl-v57s,2025-04-09T11:33:05Z,CNN
Attorney who resigned to protest Trump&#39;s law firm deals has a message for firms&#39; leaders,J1tdFVMG3uo,2025-04-08T12:39:38Z,CNN
Attorney who resigned to protest Trump&#39;s law firm deals speaks out,__jAHWFfZHw,2025-04-08T01:23:26Z,CNN
