comment,likes,published_at
Read more: https://www.foxnews.com/politics/trump-says-harvard-should-lose-tax-exempt-status-treated-political-entity-funding-dispute,5,2025-04-15T20:17:46Z
This administration is really against education and investing in their citizens. To go after a school that births attorney's is insane.,0,2025-05-03T19:56:17Z
"Since the ""Children of October 7"" film has come out, are these elite colleges willing to show this movie in they're auditoriums?  Free speech/truth?",0,2025-04-28T06:26:21Z
"Vonshitzenpants,and these Liar's on Fake Faux news are truly pathetic,Tsk3😂",0,2025-04-25T03:43:36Z
Fake news made by fake news press for a fake potus.,0,2025-04-24T20:05:09Z
So the guy who was fined 25 million dollars for running a fake university is suddenly an expert on what universities should teach?,0,2025-04-24T02:02:43Z
Being pro Palestine is not antisemitic. They should stop funding Israel! End the apartheid against the Palestinian people.,0,2025-04-23T22:59:54Z
Weeeo weeeeo 🚨 thought police 👮‍♂️ freedom of speech? We don’t even have freedom of thought 🤦,0,2025-04-23T13:20:49Z
Remove there teaching license or something,0,2025-04-23T02:30:24Z
"""The end does not justify the means"". This adage explains that committing acts of anti-semitism now is not worth funding research for the future. The research will become ""fruit of the poisonous tree"". "" The ""Golden Rule""also applies to this. If you give ""hate"" to others you give major motivation to the Karma cycle.",0,2025-04-23T00:52:27Z
Who is the chancellor ?,0,2025-04-22T14:22:33Z
"A maga supporter complaining about democrats flip flopping after witnessing Trumps Tariff debaucle just shows you how deranged the MAGA cult is. These supporters wouldnt even bat an eye if trump came to their house and murdered one of their children, theyll be like ""sacrifical lamb"" and praise Trump like a God.",0,2025-04-22T10:16:33Z
Well that one good thing Trump is doing,0,2025-04-21T22:40:59Z
"Go to a cheaper, more affordable school",0,2025-04-21T16:41:27Z
"The U S government should not give any money to any University except state University, community colleges and HBCU.",0,2025-04-21T10:29:43Z
MAGA!!!!,0,2025-04-21T00:43:18Z
Stop all funding to highly endowed colleges. We have 36 trillion dollar's  of debt. Why are we even talking an discussing  this its totally  insane.,0,2025-04-20T23:52:48Z
"Dear Fox, thanks for the great reporting and insights on this Harvard situation. However I cannot find your news report about the Trump administration now stating that the 3 pages signed by top admin officials was actually mistakenly sent to Harvard... Looking for your follow-up on this subject. That would be the right thing to do I guess.",0,2025-04-20T16:19:51Z
Harvard does not need your broke bucks 🤣🤣,0,2025-04-20T11:53:12Z
This President is awesome! It's like I won the lottery with this election outcome! He is doing everything that needs to be done. Wow.,0,2025-04-20T00:16:40Z
"Soooo, seems like I'm hearing that the white house is now trying to back away from this diCKtatorial takeover? 😅😂🤣",1,2025-04-19T22:06:46Z
LOL. Trump just backtracked and said the letter was “unauthorized” and wasn’t meant to be sent… 😂😂😂😂,0,2025-04-19T17:55:53Z
"Conservativews CHOOiDE not to go into education. So, why are you mad and trying to control it this way instead of inbesting your time as educators? You are mad that you are not influencing minds enough, but dont want to go about it the right way.",0,2025-04-19T13:04:45Z
"lol. this Lawrence Jones dude is such a Goober. I'm glad Bruh is on the other side, with MAGA 🤣😅",0,2025-04-19T12:13:25Z
This case will go to the Supreme Court  and Trump will lose.  I don’t understand why the Constitution no longer matters to most people posting here.,0,2025-04-19T08:48:37Z
"I'll take part of that money in a tax refund, part of it is mine anyway.",1,2025-04-19T06:44:22Z
Harvard is distinguishing itself from Columbia by taking a firm stand against the Trump regime.,0,2025-04-18T23:33:06Z
Kudos to Harvard for standing up to the convicted felon that is squatting in the White House. He’s an incompetent bully.,1,2025-04-18T22:09:05Z
Trump mental illness on full display.,1,2025-04-18T19:03:13Z
What ever happened to FREEDOM. Big Brother is taking over people wake up trump is destroying our Country,1,2025-04-18T17:16:45Z
