comment,likes,published_at
God bless you Donald Trump,0,2025-05-02T12:47:03Z
What are they doing with all the money he's saving and getting from doing this.😊,0,2025-05-01T23:18:24Z
It has no constitutional rights to taxpayer money,0,2025-04-30T23:27:41Z
This is why 77 million patriots MAGA supporters for. And more x-democrat walkaway supporters support Trump and Vance and administrations. 🇺🇸🗽🙌🏿👍🏽🇺🇸❤️,0,2025-04-28T01:34:47Z
"This is the expected pushback against the leftist echo chambers, the universities. High time that they get some flak for their neo-Marxism over decades. Kudos, Trump.",0,2025-04-25T13:16:50Z
Harvard  is pushing  back  about  time,0,2025-04-25T08:58:40Z
Damn. Revoking funding because students are admitted other than merit? The audacity!,0,2025-04-24T16:01:24Z
Biased comments clearly not recognizing the underlying reasons that government should also not be funding programs like that in colleges.  Government funding does not belong in colleges. It's colleges are costly and ivy League taxpayers should not be helping to pay for it,0,2025-04-24T11:57:42Z
"Some indian political leaders are engaged in grouping islamists think tank from three major countries like Bangladesh,Pakistan and India to wage religion war against american society from univesrsity platform thinking catch radicals young.The funds are laundered from UK and some middle east countries.",0,2025-04-24T01:09:52Z
May the God  with trump,0,2025-04-22T14:18:08Z
"""What a private university should teach!"" What a joke while Kindergartens are being forced with LQBT teachings ""by the Left governments"" even if they don't want it.",0,2025-04-22T01:28:03Z
Hate speech is free speech on campus.,0,2025-04-20T12:52:28Z
SCIENCE LOVERS> the same folks who dont know what a woman is.,0,2025-04-20T12:51:08Z
MAGA forever,0,2025-04-20T12:49:00Z
Is this a contest for the most unpopular president ever? Ready set go? Why fight so many fronts at once?,0,2025-04-20T08:00:22Z
Harvards research was crucial to developing technologies that helped us win WWII.,0,2025-04-19T13:21:59Z
Trump isn't an intellectual and opposes anyone who can think.,0,2025-04-19T11:18:47Z
He knows what he is doing !!!,0,2025-04-19T08:51:12Z
Wow! Iran,0,2025-04-19T04:14:15Z
Harvard University used to be a university only for The Best and with exemplary intellect or skills but now it is now full of leftist,0,2025-04-19T02:29:56Z
I don't understand why Harvard needs federal funding when they charge students $59k/yr.,0,2025-04-19T00:12:11Z
"I can barely pay for college for my son, but my taxes pay for your kids to improve more than mine. Why don't parents pay for this.... not tax payers.",0,2025-04-18T23:05:01Z
"As a retired researcher, If you take a closer look at the so-called ""groundbreaking"" research coming out of Harvard over the past decade, funded by nearly $90 billion in taxpayer money, you'll find a very different story than the one presented in press releases. None of these discoveries came out of Harvard in isolation. They’re all extensions, optimizations, or repackagings of work that has been underway globally for decades.

CRISPR? That’s built on a bacterial immune mechanism discovered in the late '80s, refined by researchers around the world. Harvard was one of many institutions involved, not the origin.

Prime editing? Just a more precise spin on CRISPR, which itself is part of a longer lineage of gene-editing tools.

Flow batteries? They’ve been around for over 50 years. Harvard’s version is just a tweak in chemistry for better stability: not a new invention.

The truth is, academic research, especially at elite institutions is rarely the source of isolated breakthroughs. It's a web of collaboration, and Harvard often plays the role of amplifier rather than originator. It’s well-positioned to secure grants, license patents, and dominate headlines, but that doesn’t mean the work is fundamentally new.

And let’s be honest: the grant game incentivizes incrementalism, buzzwords, and safe bets with publishable results, not genuine risk or paradigm-shifting discovery. Institutions that thrive off massive federal grants often operate more like publicly subsidized private enterprises.. filtering taxpayer money through a prestige machine that spits out white papers, paywalled publications, and eventual commercialization for private gain.

Call it what it is: a polished, institutionalized pipeline where the public funds the research, but rarely sees the return.

Guess who pockets the money?",0,2025-04-18T16:13:55Z
Open your eyes people there is a lot of corruption with those protests and those exchange programs. They not longer bringing the best of the best. And those protests are rising terrorists flags.,0,2025-04-18T13:23:43Z
2 Billion ???????? For Harvard??,0,2025-04-18T12:37:28Z
Yes yes yes,0,2025-04-18T11:14:08Z
"Howard makes billions of dollars. They dont need public funding. They only receive about 11 % of its revenue from the government. So they can just spend their own billions, if they don’t want to comply.",0,2025-04-18T10:51:41Z
Difficult to understand what happened. Germany ban Palestinian demonstration supporting finale end to Gaza problem ( weapons for Israel) and end of inclusive politycy ( imigrants out) carry on.,0,2025-04-18T10:39:44Z
"What's really incredible is that many Republicans graduated from Harvard. It is really disturbing to think that they stand behind all this. Trump will be over in 4 years, but the GOP will still be there and will have to bear the stigma of supporting this lunacy.",0,2025-04-18T09:41:52Z
"Why does Harvard, a private university, have a tax exemption? Why does a private university receive funding from the government?",3,2025-04-18T08:05:14Z
"The Arabs who fund the University and Arab students must be having sleepless nights .... all the petrodollar (in Billions) going down the drain !!
Using country's own laws against the country  !!",0,2025-04-18T07:48:05Z
"Harvard spends more than most countries: $6.4B budget, $53.2B endowment.

University of Michigan rivals Fortune 500 companies: $11B annual spend.

Johns Hopkins outspends NASA: $3.8B in research alone.

Richest 20 universities hold over 70% of all U.S. endowment wealth.

Some colleges spend $100K per student annually while others struggle with under $10K to fund a full year.",0,2025-04-18T07:01:09Z
"Omg, is the guest in pink jacket a man or a woman?",0,2025-04-18T05:18:08Z
Harvard behaves like the Martha’s Vineyard residents who exposed themselves by how their treated illegal immigrants when they arrived.,0,2025-04-18T05:17:24Z
Americans aren't doing anything to stop this madness. They just put it in the news.,0,2025-04-18T04:00:29Z
"Ok.  So ,In DWs view point , the position by a democratically elected Govt and it precident is not important than anotger woke NGO representative ? LOL",0,2025-04-18T03:59:30Z
So this is Democracy ?,4,2025-04-18T02:22:44Z
Surely they have Harvard educated lawyers to fight these policies 😂,5,2025-04-18T02:12:56Z
Germany should from trump as the US and Germany share the same value,0,2025-04-17T23:36:05Z
"Instead of supporting the university, he supports war in gaza",0,2025-04-17T23:08:44Z
"“The more educated they are, the more wicked they are.” ——chair man Mao. Welcome to the club 😂",1,2025-04-17T21:38:00Z
DW News. This isnt about antisemitism really - so why does the presenter spend all this time asking about it. Thats not the story here. Wasted opportunity.,1,2025-04-17T21:35:35Z
If you don't want to be told what to do by the government then stop accepting taxpayer dollars.,1,2025-04-17T20:00:04Z
Private university. So why such a commotion about public money?,4,2025-04-17T19:39:35Z
She still thinks that Trump will be out in 4 years.... Cute.,0,2025-04-17T19:32:13Z
"I'm so glad Trump was dumb enough to do this. All he's going to accomplish is uniting Americans against himself. It's like a sociopath on trial firing their lawyer, insisting that they be allowed to represent themselves.",0,2025-04-17T18:27:27Z
Why are we paying tuition when the government is paying billions for education?,0,2025-04-17T18:22:49Z
Harvard is one of the richest schools. 62 Billion Endowments. Why are they taking billions from the poor taxpayers,2,2025-04-17T18:22:35Z
"Fact is, all the premier institutions run on indian and chinese money. You shouldn't be suprised to see harvard opening a branch in India 😅.",0,2025-04-17T17:03:18Z
There has not been free speech at Harvard for decades. Trying to gaslight people by saying they are defending free speech just shows the hypocrites they are.,0,2025-04-17T15:46:09Z
Private universities can do whatever they want and the government is not required to give them any funding.,3,2025-04-17T15:42:13Z
Keep Strong Harvard!,0,2025-04-17T15:39:52Z
DIDD - Donald Intellectual and Developmental Disability,0,2025-04-17T15:31:11Z
When your endowment is so huge that you dont even need $2 billion on funding from the president.  Harvard is super privileged to have so much money in its bank account that it doesn't even need external funding.,0,2025-04-17T15:26:34Z
2025=1984,0,2025-04-17T15:22:02Z
"As they say, use what you are good at,
There should be enough smart people at Harvard to unite and use all means to overthrow this Gestapo called Trump 😂😂😂",0,2025-04-17T14:59:08Z
"Harvard, Columbia, etc don't pay any taxes, yet we are still giving them BILLIONS?? They are sitting on $50 BILLION + of endowment money!  Private universities make their own money charging exorbitant tuition fees!   Fund PUBLIC schools!!",1,2025-04-17T14:49:53Z
Super rich and tax exempt............,0,2025-04-17T14:30:28Z
HAHA!,0,2025-04-17T14:29:53Z
"Why should ANY of my hard earned money be paying for extremely rich kids' education?  
What benefits or benefit do we working class get from this?  Stop giving them our money and make them reimburse ALL of OUR money!   This is evil! 👹👺",4,2025-04-17T14:08:37Z
Harvard made the RIGHT move,0,2025-04-17T12:25:54Z
go Harvard ✊,0,2025-04-17T12:24:13Z
"Anti-American"" is a term used to describe sentiments or actions that are opposed or hostile to the United States, its people, its government, its foreign policies, or American culture and values
Same values 
Again 
Advance AI Technology infrastructure is the future not the school system most probably within couple of years 
It might be the future and the reality",0,2025-04-17T12:02:25Z
"Unfortunately 
Until now 
No one known this much money spent for this institution using federal money 💰 
When citizens are struggling with their children",4,2025-04-17T11:58:35Z
"HaRvard not Haward and CoLUMbia not Colombia, SOMEONE hasto tel that lady the right pronunciation, please.",0,2025-04-17T11:58:14Z
"Come to New Zealand! We love a peaceful protest! We are in desperate need of Drs, nurses, teachers! We have a crazy right wing too, but it's much, much, much smaller😂. If a politician lies or sends a smutty email, they are pressured to stand down.",0,2025-04-17T11:13:47Z
So much for less government,0,2025-04-17T11:06:35Z
"The last refuge of a scoundrel is ""scholarship""",0,2025-04-17T10:40:21Z
"The ""American Democracy"" uhuhuhuhuhuhuhu....there's no democracy anywhere. ""Democracy"" is as real as the phrase ""kings were appointed by god"" hahahahaha!",0,2025-04-17T10:10:16Z
"It's very simple, Trump said he'd be a dictator. So this isn't news this is him doing what he said he'd do.",0,2025-04-17T10:04:35Z
Why is Harvard getting taxpayer money when it’s a million dollars per semester,1,2025-04-17T09:59:20Z
